epoch,global_step,train_loss
0,748,-19.383517186245687
1,1497,-22.987298731173627
2,2246,-23.491747844680766
3,2995,-25.01196449907504
4,3744,-26.539753931705082
5,4493,-28.001698431885927
6,5242,-31.317311392607134
7,5991,-30.155677116760742
8,6740,-32.32788545076296
9,7489,-32.938185554321045
10,8238,3.4413255855779306
11,8987,-29.167481624873204
12,9736,-30.811393154638314
13,10485,-31.875849320191406
14,11234,-32.838243122890255
15,11983,-33.654204693273485
16,12732,-33.50459121607334
17,13481,-34.35173495589334
18,14230,-35.1099057904232
19,14979,-27.14549732813052
20,15728,-28.35373923297877
21,16477,-31.795990918443422
22,17226,-33.31952786795765
23,17975,-34.31442392142974
24,18724,-34.836841163075015
25,19473,-31.638544399684196
26,20222,-30.625530310402883
27,20971,-32.22793269443894
28,21720,-32.98172995054197
29,22469,-31.68960140671367
30,23218,-33.44491321222486
31,23967,-34.135374186354106
32,24716,-32.67707113207421
33,25465,-4.273786200481518
34,26214,-29.750075188752646
35,26963,-31.299542079462068
36,27712,-32.492323163672985
37,28461,-33.085930746610714
38,29210,-33.25982889600685
39,29959,-32.31101898071126
40,30708,-33.32036675884822
41,31457,-33.8489050616887
42,32206,-34.005201910143704
43,32955,-34.29057037750774
44,33704,-33.46919128254991
45,34453,-34.30691492159631
46,35202,-32.96757626581255
47,35951,-33.5278458537979
48,36700,-34.74318615298405
49,37449,-36.04376733828291
50,38198,-37.13160579258673
51,38947,-36.997342326771594
52,39696,-37.447013857527
53,40445,-37.44135748655678
54,41194,-36.60357715672899
55,41943,-40.354152317836544
56,42692,-38.61863123813522
57,43441,-26.831238622499882
58,44190,-32.5485214951519
59,44939,-36.09718818944669
60,45688,-36.90239536491669
61,46437,-37.30253320956262
62,47186,-39.29011434165435
63,47935,-39.06853713785536
64,48684,-40.826867527573384
65,49433,-39.99641122295955
66,50182,-40.60036474617524
67,50931,-37.35957252836037
68,51680,-17.157550582261845
69,52429,-32.71529032168624
70,53178,-37.04784517326406
71,53927,-40.06584555825818
72,54676,-40.42519362085811
73,55425,-41.66176846380705
74,56174,-33.586981391715746
75,56923,-41.08767864700949
76,57672,-40.95068480939827
77,58421,-41.406096571755505
78,59170,-41.88485891701223
79,59919,-42.411156749852665
80,60668,-17.373704484053384
81,61417,-33.39931394452247
82,62166,-35.490633824479595
83,62915,-38.406519990419355
84,63664,-40.2132447755862
85,64413,-40.11223871462813
86,65162,-42.32124812453388
87,65911,-43.14924824794876
88,66660,-43.07528361331955
89,67409,-37.3727508743551
90,68158,-36.07582160022771
91,68907,-39.14274877922557
92,69656,-31.995346049282038
93,70405,-39.2302970275064
94,71154,-40.66934731932921
95,71903,-43.49069267344252
96,72652,-29.390815399994995
97,73401,-37.36190377663229
98,74150,-37.85354248576552
99,74899,-39.85531454060838
100,75648,-32.37486433887354
101,76397,-35.262618169287975
102,77146,-38.7112679373279
103,77895,-42.63717666948749
104,78644,-44.17198634688781
105,79393,-41.113296232490896
106,80142,-37.526818159584685
107,80891,-32.738483756701044
108,81640,-38.910879906729484
109,82389,-43.227848030059775
110,83138,-41.12342708308165
111,83887,-44.09043532856634
112,84636,-45.15296353771785
113,85385,-36.67541662029653
114,86134,-37.54124065712393
115,86883,-27.961762397088737
116,87632,-36.99213554066555
117,88381,-40.742656677205346
118,89130,-38.43102631931789
119,89879,-38.22252707360424
120,90628,-42.77893101802974
121,91377,-42.957932658125465
122,92126,-44.1466952528909
123,92875,-39.71586735321778
124,93624,-33.98232013424821
125,94373,-35.27221048658139
126,95122,-36.734070555071966
127,95871,-37.444804040071006
128,96620,-37.736331636660566
129,97369,-37.00101789772431
130,98118,-14.22539966574339
131,98867,-35.29441111046418
132,99616,-36.844009479311346
133,100365,-38.89297558691537
134,101114,-40.62018847497347
135,101863,-40.42193006530145
136,102612,-41.941347280077046
137,103361,-39.16618885185435
138,104110,-31.26916595406144
139,104859,-37.05698099776168
140,105608,-39.235892251273185
141,106357,-41.49919957312468
142,107106,-36.277963729344
143,107855,-39.67165881769361
144,108604,-42.323648114070714
145,109353,-42.63083083034358
146,110102,-37.87125519216458
147,110851,-38.46391812313065
148,111600,-38.07542500922454
149,112349,-41.74839214584697
150,113098,-43.09387941831581
151,113847,-41.684860220579345
152,114596,-41.81237869364556
153,115345,-44.7774906132982
154,116094,-44.95480443129393
155,116843,-38.7365239822021
156,117592,-43.13807249228372
157,118341,-44.812814531721
158,119090,-43.92546989125149
159,119839,-45.17306519063993
160,120588,-42.87384509594641
161,121337,-45.29656575073069
162,122086,-46.172880587813374
163,122835,-32.40671643809738
164,123584,-43.6633279746938
165,124333,-42.97968267916996
166,125082,-40.864266303257246
167,125831,-36.97031352930617
168,126580,-39.04142924526505
169,127329,-40.690401686208745
170,128078,-45.220036189610234
171,128827,-46.52049023127842
172,129576,-47.13902417680768
173,130325,-41.334744506588926
174,131074,-38.42972411651
175,131823,-40.444005795569225
176,132572,-38.994784880066426
177,133321,-45.21501618042807
178,134070,-46.19233883907384
179,134819,-46.71053139007935
180,135568,-15.572488846463736
181,136317,-31.092370001432574
182,137066,-34.73751404511435
183,137815,-36.22969819643151
184,138564,-37.279235198118975
185,139313,-39.31819202234653
186,140062,-42.15771524610125
187,140811,-45.121014889155596
188,141560,-45.650087213961875
189,142309,-46.93026781273143
190,143058,-41.33614753180734
191,143807,-38.1947896213175
192,144556,-42.75667124214733
193,145305,-44.34326637889419
194,146054,-46.22952941772298
